Pontos: 0 | Vidas: 7 | Iteracoes: 0
|------------------------------------------|
|                                          |
|                                          |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                                          |
|                                          |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                  BUS                     |
|                  0O0                     |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|  BUSBUS BUS BUS  BUSBUS   BUSBUS      BUS|
|  0O00O0 0O0 0O0  0O00O0   0O00O0      0O0|
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                                          |
|                                          |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                BUS BUS  BUS              |
|                0O0 0O0  0O0              |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                        BUS               |
|                        0O0               |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                                          |
|                                          |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|     BUS           BUS               BUS  |
|     0O0           0O0               0O0  |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
| BUS     BUS           BUS         BUS    |
| 0O0     0O0           0O0         0O0    |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|     BUS     BUS                  BUS BUS |
|     0O0     0O0                  0O0 0O0 |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                ^_^                       |
|                (o)                       |
|------------------------------------------|
Pontos: 1 | Vidas: 7 | Iteracoes: 1
|------------------------------------------|
|                                          |
|                                          |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                                          |
|                                          |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                     BUS                  |
|                     0O0                  |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|BUS  BUSBUS BUS BUS  BUSBUS   BUSBUS      |
|0O0  0O00O0 0O0 0O0  0O00O0   0O00O0      |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                                          |
|                                          |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|             BUS BUS  BUS                 |
|             0O0 0O0  0O0                 |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                          BUS             |
|                          0O0             |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                                          |
|                                          |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|   BUS           BUS               BUS    |
|   0O0           0O0               0O0    |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|     BUS           BUS         BUS     BUS|
|     0O0           0O0         0O0     0O0|
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|    BUS     BUS ^_^              BUS BUS  |
|    0O0     0O0 (o)              0O0 0O0  |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                                          |
|                                          |
|------------------------------------------|
Pontos: 0 | Vidas: 6 | Iteracoes: 2
|------------------------------------------|
|                                          |
|                                          |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                                          |
|                                          |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
|                        BUS               |
|                        0O0               |
|-- -- -- -- -- -- -- -- -- -- -- -- -- -- |
